gender,Age,Attitude,Points,stra,deep,surf
F,53,37,25,3.375,3.5833333333333335,2.5833333333333335
M,55,31,12,2.75,2.9166666666666665,3.1666666666666665
F,49,25,24,3.625,3.5,2.25
M,53,35,10,3.125,3.5,2.25
M,49,37,22,3.625,3.6666666666666665,2.8333333333333335
F,38,38,21,3.625,4.75,2.4166666666666665
M,50,35,21,2.25,3.8333333333333335,1.9166666666666667
F,37,29,31,4,3.25,2.8333333333333335
M,37,38,24,4.25,4.333333333333333,2.1666666666666665
F,42,21,26,3.5,4,3
M,37,39,31,3.625,3.5833333333333335,2.6666666666666665
F,34,38,31,4.75,3.8333333333333335,2.4166666666666665
F,34,24,23,3.625,4.25,2.25
F,34,30,25,3.5,3.3333333333333335,2.75
M,35,26,21,1.75,4.166666666666667,2.3333333333333335
F,33,41,31,3.875,3.6666666666666665,2.3333333333333335
F,32,26,20,1.375,4.083333333333333,2.9166666666666665
F,44,26,22,3.25,3.5,2.5
M,29,17,9,3,4.083333333333333,3.75
F,30,27,24,3.75,4,2.75
M,27,39,28,2.625,3.9166666666666665,2.3333333333333335
M,29,34,30,2.375,4,2.4166666666666665
F,31,27,24,3.625,4,3
F,37,23,9,2.75,3.6666666666666665,2.4166666666666665
F,26,37,26,1.75,3.6666666666666665,2.8333333333333335
F,26,44,32,3.25,4.416666666666667,3.1666666666666665
M,30,41,32,4,3.9166666666666665,3
F,33,37,33,3.625,3.75,2
F,33,25,29,2.875,3.25,3.5
M,28,30,30,3,3.5833333333333335,3.75
M,26,34,19,1.625,4.916666666666667,2.5
F,27,32,23,3.25,3.5833333333333335,2.0833333333333335
F,25,20,19,3.5,2.9166666666666665,2.4166666666666665
F,31,24,12,3,3.6666666666666665,2.5833333333333335
M,20,42,10,3.25,4.5,1.5833333333333333
F,39,16,11,1.875,4.083333333333333,2.8333333333333335
M,38,31,20,4.375,3.8333333333333335,1.8333333333333333
M,24,38,26,3.625,3.25,2.4166666666666665
M,26,38,31,2.5,2.3333333333333335,3.25
M,25,33,20,1.25,3.3333333333333335,3.4166666666666665
F,30,17,23,4,4.083333333333333,3.4166666666666665
F,25,25,12,3,2.9166666666666665,3.1666666666666665
M,30,32,24,2.5,3.3333333333333335,3.5
F,48,35,17,4.875,3.8333333333333335,2.6666666666666665
F,24,32,29,5,3.6666666666666665,2.4166666666666665
F,40,42,23,4.375,4.666666666666667,3.5833333333333335
M,25,31,28,3.25,3.75,2.0833333333333335
F,23,39,31,4,3.4166666666666665,3.75
F,25,19,23,3.125,4.166666666666667,2.9166666666666665
F,23,21,25,2.5,2.9166666666666665,2.9166666666666665
M,27,25,18,3.125,4.166666666666667,2.4166666666666665
M,25,32,19,3.25,3.5833333333333335,3
M,23,32,22,2.125,2.8333333333333335,3.4166666666666665
F,23,26,25,2.75,4,2.9166666666666665
F,23,23,21,2.375,2.9166666666666665,3.25
F,45,38,9,3.125,3,3.25
F,22,28,28,4,4.083333333333333,2.3333333333333335
F,23,33,25,4,2.9166666666666665,3.25
M,21,48,29,2.25,3.5,2.5
M,21,40,33,3.25,4.333333333333333,1.75
F,21,40,33,3.625,4.25,2.25
F,21,47,25,3.625,3.4166666666666665,2.0833333333333335
F,26,23,18,2.5,3.0833333333333335,2.8333333333333335
F,25,31,22,1.875,4.583333333333333,2.8333333333333335
F,26,27,17,2,3.4166666666666665,2.4166666666666665
M,21,41,25,1.875,3.4166666666666665,2.25
F,23,34,28,4,3.4166666666666665,2.8333333333333335
F,22,25,22,2.875,3.5833333333333335,2.25
F,22,21,26,3.875,1.5833333333333333,1.8333333333333333
F,22,14,11,2.5,3.3333333333333335,2.9166666666666665
F,23,19,29,2.75,4.333333333333333,2.9166666666666665
M,22,37,22,4.5,4.416666666666667,2.0833333333333335
M,23,32,21,3.375,4.833333333333333,2.3333333333333335
M,24,28,28,2.625,3.0833333333333335,2.4166666666666665
F,22,41,33,4.125,3,2.75
F,23,25,16,2.625,4.083333333333333,3.25
M,22,28,31,2.25,4.083333333333333,1.75
M,20,38,22,2.75,3.75,2.5833333333333335
M,22,31,31,3,3.0833333333333335,3.3333333333333335
M,21,35,23,1.625,4.75,2.8333333333333335
F,22,36,26,1.875,4.25,2.5
F,23,26,12,3.375,4.166666666666667,2.4166666666666665
M,21,44,26,3.75,4.416666666666667,2.4166666666666665
M,22,45,31,2.125,3.8333333333333335,2.5833333333333335
M,29,32,19,2.375,3.3333333333333335,3
F,29,39,30,2.75,3.1666666666666665,2
F,21,25,12,3.125,3.1666666666666665,3.4166666666666665
M,28,33,17,3.5,3.8333333333333335,2.8333333333333335
F,21,33,18,2.625,4.25,2.25
F,30,30,19,3.375,3.8333333333333335,2.75
F,21,29,21,2.25,3.6666666666666665,3.9166666666666665
M,23,33,24,3,3.8333333333333335,2.3333333333333335
F,21,33,28,4,3.8333333333333335,2.75
F,21,35,17,3.5,3.8333333333333335,2.75
F,20,36,18,2.625,3.6666666666666665,2.9166666666666665
M,22,37,17,2.5,4.333333333333333,2.0833333333333335
M,21,42,23,3.75,3.75,3.6666666666666665
M,21,32,26,3.625,4.166666666666667,2.8333333333333335
F,20,50,28,4.125,4,3.4166666666666665
M,22,47,31,4.375,4,1.5833333333333333
F,20,36,27,2.625,4.583333333333333,2.9166666666666665
F,20,36,25,4,3.6666666666666665,3
M,24,29,23,2.75,3.6666666666666665,2.9166666666666665
F,20,35,21,2.75,3.8333333333333335,2.6666666666666665
F,19,40,27,1.375,2.5833333333333335,3
F,21,35,28,2.25,3.5,2.75
F,21,32,23,3.625,3.0833333333333335,3.0833333333333335
F,22,26,21,3.75,4.25,2.5
F,25,20,25,4,3.1666666666666665,2.3333333333333335
F,21,27,11,3.125,3.0833333333333335,3
F,22,32,19,3.25,4.166666666666667,3
F,25,33,24,2.125,2.25,4
F,20,39,28,2.875,3.3333333333333335,3.25
M,24,33,21,1.5,3.0833333333333335,3.5
F,20,30,24,2.5,2.75,3.5
M,21,37,24,3.25,3.25,3.8333333333333335
F,20,25,20,3.625,4,2.9166666666666665
F,20,29,19,3.875,3.5833333333333335,2.1666666666666665
M,31,39,30,3.875,4.083333333333333,1.6666666666666667
F,20,36,22,2.375,4.25,2.0833333333333335
F,22,29,16,3,3.4166666666666665,2.8333333333333335
F,22,21,16,3.375,3.0833333333333335,3.4166666666666665
M,21,31,19,2.75,3.5,3.3333333333333335
M,22,40,30,4.5,3.6666666666666665,2.5833333333333335
F,21,31,23,2.625,4.25,2.8333333333333335
F,21,23,19,2.75,4.25,3.3333333333333335
F,21,28,18,3.25,3.8333333333333335,3
F,21,37,28,4.125,4.416666666666667,2.5833333333333335
F,20,26,21,3.375,3.5,2.4166666666666665
F,21,24,19,2.75,3.5833333333333335,3.5833333333333335
F,25,30,27,4.125,3.6666666666666665,2.0833333333333335
M,21,28,24,3.25,2.0833333333333335,4.333333333333333
F,24,29,21,2.875,4.25,2.6666666666666665
F,20,24,20,2.875,3.5833333333333335,3
M,21,31,28,2.375,4,2.6666666666666665
F,20,19,12,3.875,3.3333333333333335,2.1666666666666665
F,20,20,21,2.125,3.5,2.6666666666666665
F,18,38,28,4,3.1666666666666665,2.25
F,21,34,31,3.25,3.5833333333333335,2.6666666666666665
F,19,37,18,2.625,3.4166666666666665,3.3333333333333335
F,21,29,25,2.75,4.25,3.5
F,20,23,19,4,3.25,2.75
M,21,41,21,3,4.416666666666667,2
F,20,27,16,3.375,3.25,2.8333333333333335
F,21,35,7,3.875,3.9166666666666665,3.5
F,20,34,21,3.25,3.5833333333333335,2.5
F,18,32,17,3.375,4.5,3.1666666666666665
M,22,33,22,4.125,3.5833333333333335,3.0833333333333335
F,22,33,18,3.5,3.6666666666666665,2.9166666666666665
M,24,35,25,2,2.5833333333333335,3.1666666666666665
F,19,32,24,3.625,4.166666666666667,2.5
F,20,31,23,3.375,3.25,3.8333333333333335
F,20,28,23,2.125,4.333333333333333,2.25
F,17,17,26,4.625,3.9166666666666665,3.4166666666666665
M,19,19,12,2.5,2.6666666666666665,3.75
F,20,35,32,2.875,3.0833333333333335,3
F,20,24,22,2.75,3.75,2.5833333333333335
F,20,21,20,4,4.166666666666667,3.3333333333333335
F,20,29,21,2.375,4.166666666666667,2.8333333333333335
F,19,19,23,3.875,3.25,3
F,19,20,20,3.375,4.083333333333333,2.8333333333333335
F,22,42,28,1.75,2.9166666666666665,3.1666666666666665
M,35,41,31,3,3.8333333333333335,2.75
F,18,37,18,2.625,3.1666666666666665,3.4166666666666665
F,19,36,30,2.625,3.4166666666666665,3
M,21,18,19,3.375,4.083333333333333,2.6666666666666665
